Date,Affected pages
2026-03-21,46
2026-03-22,45
2026-03-23,45
2026-03-24,45
2026-03-25,46
2026-03-26,46
2026-03-27,46
2026-03-28,46
2026-03-29,45
2026-03-30,45
2026-03-31,45
2026-04-01,45
2026-04-02,45
2026-04-03,45
2026-04-04,45
2026-04-05,45
2026-04-06,45
